influencer,video_title,comment_text,like_count,reply_count,days_since_post,sentiment
FitWithMaya,15 Minute Fat Burn Workout,This workout was amazing and easy to follow,182,9,2,positive
FitWithMaya,15 Minute Fat Burn Workout,I actually finished the whole routine and feel great,140,6,2,positive
FitWithMaya,15 Minute Fat Burn Workout,Your cues are so clear and motivating,127,4,2,positive
FitWithMaya,15 Minute Fat Burn Workout,Love this session my legs are shaking in the best way,211,12,2,positive
FitWithMaya,15 Minute Fat Burn Workout,Best home workout channel on YouTube honestly,245,14,2,positive
FitWithMaya,15 Minute Fat Burn Workout,This video helped me get back into exercise after months,164,5,3,positive
FitWithMaya,15 Minute Fat Burn Workout,Great energy and perfect timing between sets,119,3,3,positive
FitWithMaya,15 Minute Fat Burn Workout,The workout is solid but the music is too loud,51,7,3,negative
FitWithMaya,15 Minute Fat Burn Workout,I like the routine but some moves need beginner options,48,5,3,neutral
FitWithMaya,15 Minute Fat Burn Workout,Can you make a version for small apartments,65,2,4,neutral
FitWithMaya,10 Minute Abs Challenge,That burn was real thank you for pushing us,196,10,5,positive
FitWithMaya,10 Minute Abs Challenge,This is my favorite ab workout on the internet,220,11,5,positive
FitWithMaya,10 Minute Abs Challenge,Good session and nice pacing,88,2,5,neutral
FitWithMaya,10 Minute Abs Challenge,I wish there was more explanation for lower back safety,57,6,5,negative
FitWithMaya,10 Minute Abs Challenge,The timer disappeared for a second on my screen,34,1,6,negative
FitWithMaya,10 Minute Abs Challenge,Coming back to this every morning before class,132,4,6,positive
FitWithMaya,What I Eat In A Day,Healthy meal ideas and realistic portions loved this,175,8,8,positive
FitWithMaya,What I Eat In A Day,This gave me simple ideas for meal prep,121,2,8,positive
FitWithMaya,What I Eat In A Day,The recipes look good but macros would help,53,3,8,neutral
FitWithMaya,What I Eat In A Day,Too many supplement mentions in one video,46,4,8,negative
CoachRavi,Full Body Dumbbell Workout,Super practical workout for busy people,161,7,2,positive
CoachRavi,Full Body Dumbbell Workout,Love how you explain form on every rep,203,11,2,positive
CoachRavi,Full Body Dumbbell Workout,Clear coaching and no unnecessary talking,146,5,2,positive
CoachRavi,Full Body Dumbbell Workout,This is useful for intermediate lifters,73,1,3,neutral
CoachRavi,Full Body Dumbbell Workout,My shoulders felt weird on the upright row section,44,6,3,negative
CoachRavi,Full Body Dumbbell Workout,Thanks for sharing a no nonsense routine,133,4,3,positive
CoachRavi,Full Body Dumbbell Workout,Please upload more workouts with resistance bands,69,2,4,neutral
CoachRavi,Full Body Dumbbell Workout,Good workout but the camera angle hides form sometimes,41,3,4,negative
CoachRavi,How To Fix Push Up Form,Finally someone explained push ups properly,187,13,6,positive
CoachRavi,How To Fix Push Up Form,My wrists hurt less after using your tips,149,8,6,positive
CoachRavi,How To Fix Push Up Form,This tutorial is detailed and easy to understand,138,6,6,positive
CoachRavi,How To Fix Push Up Form,Can you cover incline push ups for beginners next,76,4,6,neutral
CoachRavi,How To Fix Push Up Form,The audio is low compared to your other videos,32,2,7,negative
CoachRavi,How To Fix Push Up Form,Short and straight to the point perfect,117,3,7,positive
CoachRavi,High Protein Indian Meal Prep,Meal prep ideas are useful and affordable,191,9,10,positive
CoachRavi,High Protein Indian Meal Prep,This is helpful but please include vegetarian swaps,67,5,10,neutral
CoachRavi,High Protein Indian Meal Prep,Great recipes and very realistic grocery list,129,3,10,positive
CoachRavi,High Protein Indian Meal Prep,Too much emphasis on whey protein brands,39,4,10,negative
CoachRavi,High Protein Indian Meal Prep,Saved this for my weekly prep thank you,112,2,11,positive
