influencer,video_title,comment_text,like_count,reply_count,days_since_post,sentiment,clean_comment,comment_length,word_count,engagement_score,has_question,has_suggestion
CoachRavi,Affordable High Protein Indian Meals,Your explanation made meal prep so much easier to understand.,121,7,2,positive,your explanation made meal prep so much easier to understand,60,10,135,0,0
CoachRavi,Affordable High Protein Indian Meals,This was helpful and straightforward for a general audience.,56,4,2,neutral,this was helpful and straightforward for a general audience,59,9,64,0,0
CoachRavi,Affordable High Protein Indian Meals,I expected more practical examples instead of general tips.,29,5,2,negative,i expected more practical examples instead of general tips,58,9,39,0,0
CoachRavi,Affordable High Protein Indian Meals,Your explanation made meal prep so much easier to understand. This stood out more than I expected.,121,7,2,positive,your explanation made meal prep so much easier to understand this stood out more than i expected,96,17,135,0,0
CoachRavi,Affordable High Protein Indian Meals,This was helpful and straightforward for a general audience. This stood out more than I expected.,56,4,2,neutral,this was helpful and straightforward for a general audience this stood out more than i expected,95,16,64,0,0
CoachRavi,Affordable High Protein Indian Meals,I expected more practical examples instead of general tips. This stood out more than I expected.,29,5,2,negative,i expected more practical examples instead of general tips this stood out more than i expected,94,16,39,0,0
CoachRavi,Affordable High Protein Indian Meals,Decent upload and the information is easy to apply. This stood out more than I expected.,72,5,4,neutral,decent upload and the information is easy to apply this stood out more than i expected,86,16,82,0,0
CoachRavi,Affordable High Protein Indian Meals,This topic deserved a clearer and more detailed breakdown. This stood out more than I expected.,45,6,4,negative,this topic deserved a clearer and more detailed breakdown this stood out more than i expected,93,16,57,0,0
CoachRavi,Full Body Dumbbell Workout,Super practical workout for busy people,161,7,2,positive,super practical workout for busy people,39,6,175,0,0
CoachRavi,Full Body Dumbbell Workout,Love how you explain form on every rep,203,11,2,positive,love how you explain form on every rep,38,8,225,0,0
CoachRavi,Full Body Dumbbell Workout,Clear coaching and no unnecessary talking,146,5,2,positive,clear coaching and no unnecessary talking,41,6,156,0,0
CoachRavi,Full Body Dumbbell Workout,This is useful for intermediate lifters,73,1,3,neutral,this is useful for intermediate lifters,39,6,75,0,0
CoachRavi,Full Body Dumbbell Workout,My shoulders felt weird on the upright row section,44,6,3,negative,my shoulders felt weird on the upright row section,50,9,56,0,0
CoachRavi,Full Body Dumbbell Workout,Thanks for sharing a no nonsense routine,133,4,3,positive,thanks for sharing a no nonsense routine,40,7,141,0,0
CoachRavi,Full Body Dumbbell Workout,Please upload more workouts with resistance bands,69,2,4,neutral,please upload more workouts with resistance bands,49,7,73,0,0
CoachRavi,Full Body Dumbbell Workout,Good workout but the camera angle hides form sometimes,41,3,4,negative,good workout but the camera angle hides form sometimes,54,9,47,0,0
